Year,Quarter,Start_Date,Start_Epoch,End_Date,End_Epoch,IDX
2007,Q1,2007-01-01,1167609600,2007-04-01,1175385600,2007_Q1
2007,Q2,2007-04-01,1175385600,2007-07-01,1183248000,2007_Q2
2007,Q3,2007-07-01,1183248000,2007-10-01,1191196800,2007_Q3
2007,Q4,2007-10-01,1191196800,2008-01-01,1199145600,2007_Q4
2008,Q1,2008-01-01,1199145600,2008-04-01,1207008000,2008_Q1
2008,Q2,2008-04-01,1207008000,2008-07-01,1214870400,2008_Q2
2008,Q3,2008-07-01,1214870400,2008-10-01,1222819200,2008_Q3
2008,Q4,2008-10-01,1222819200,2009-01-01,1230768000,2008_Q4
2009,Q1,2009-01-01,1230768000,2009-04-01,1238544000,2009_Q1
2009,Q2,2009-04-01,1238544000,2009-07-01,1246406400,2009_Q2
2009,Q3,2009-07-01,1246406400,2009-10-01,1254355200,2009_Q3
2009,Q4,2009-10-01,1254355200,2010-01-01,1262304000,2009_Q4
2010,Q1,2010-01-01,1262304000,2010-04-01,1270080000,2010_Q1
2010,Q2,2010-04-01,1270080000,2010-07-01,1277942400,2010_Q2
2010,Q3,2010-07-01,1277942400,2010-10-01,1285891200,2010_Q3
2010,Q4,2010-10-01,1285891200,2011-01-01,1293840000,2010_Q4
2011,Q1,2011-01-01,1293840000,2011-04-01,1301616000,2011_Q1
2011,Q2,2011-04-01,1301616000,2011-07-01,1309478400,2011_Q2
2011,Q3,2011-07-01,1309478400,2011-10-01,1317427200,2011_Q3
2011,Q4,2011-10-01,1317427200,2012-01-01,1325376000,2011_Q4
2012,Q1,2012-01-01,1325376000,2012-04-01,1333238400,2012_Q1
2012,Q2,2012-04-01,1333238400,2012-07-01,1341100800,2012_Q2
2012,Q3,2012-07-01,1341100800,2012-10-01,1349049600,2012_Q3
2012,Q4,2012-10-01,1349049600,2013-01-01,1356998400,2012_Q4
2013,Q1,2013-01-01,1356998400,2013-04-01,1364774400,2013_Q1
2013,Q2,2013-04-01,1364774400,2013-07-01,1372636800,2013_Q2
2013,Q3,2013-07-01,1372636800,2013-10-01,1380585600,2013_Q3
2013,Q4,2013-10-01,1380585600,2014-01-01,1388534400,2013_Q4
2014,Q1,2014-01-01,1388534400,2014-04-01,1396310400,2014_Q1
2014,Q2,2014-04-01,1396310400,2014-07-01,1404172800,2014_Q2
2014,Q3,2014-07-01,1404172800,2014-10-01,1412121600,2014_Q3
2014,Q4,2014-10-01,1412121600,2015-01-01,1420070400,2014_Q4
2015,Q1,2015-01-01,1420070400,2015-04-01,1427846400,2015_Q1
2015,Q2,2015-04-01,1427846400,2015-07-01,1435708800,2015_Q2
2015,Q3,2015-07-01,1435708800,2015-10-01,1443657600,2015_Q3
2015,Q4,2015-10-01,1443657600,2016-01-01,1451606400,2015_Q4
2016,Q1,2016-01-01,1451606400,2016-04-01,1459468800,2016_Q1
2016,Q2,2016-04-01,1459468800,2016-07-01,1467331200,2016_Q2
2016,Q3,2016-07-01,1467331200,2016-10-01,1475280000,2016_Q3
2016,Q4,2016-10-01,1475280000,2017-01-01,1483228800,2016_Q4
2017,Q1,2017-01-01,1483228800,2017-04-01,1491004800,2017_Q1
2017,Q2,2017-04-01,1491004800,2017-07-01,1498867200,2017_Q2
2017,Q3,2017-07-01,1498867200,2017-10-01,1506816000,2017_Q3
2017,Q4,2017-10-01,1506816000,2018-01-01,1514764800,2017_Q4
2018,Q1,2018-01-01,1514764800,2018-04-01,1522540800,2018_Q1
2018,Q2,2018-04-01,1522540800,2018-07-01,1530403200,2018_Q2
2018,Q3,2018-07-01,1530403200,2018-10-01,1538352000,2018_Q3
2018,Q4,2018-10-01,1538352000,2019-01-01,1546300800,2018_Q4
2019,Q1,2019-01-01,1546300800,2019-04-01,1554076800,2019_Q1
2019,Q2,2019-04-01,1554076800,2019-07-01,1561939200,2019_Q2
2019,Q3,2019-07-01,1561939200,2019-10-01,1569888000,2019_Q3
2019,Q4,2019-10-01,1569888000,2020-01-01,1577836800,2019_Q4
2020,Q1,2020-01-01,1577836800,2020-04-01,1585699200,2020_Q1
2020,Q2,2020-04-01,1585699200,2020-07-01,1593561600,2020_Q2
2020,Q3,2020-07-01,1593561600,2020-10-01,1601510400,2020_Q3
2020,Q4,2020-10-01,1601510400,2021-01-01,1609459200,2020_Q4
2021,Q1,2021-01-01,1609459200,2021-04-01,1617235200,2021_Q1
2021,Q2,2021-04-01,1617235200,2021-07-01,1625097600,2021_Q2
2021,Q3,2021-07-01,1625097600,2021-10-01,1633046400,2021_Q3
2021,Q4,2021-10-01,1633046400,2022-01-01,1640995200,2021_Q4
2022,Q1,2022-01-01,1640995200,2022-04-01,1648771200,2022_Q1
2022,Q2,2022-04-01,1648771200,2022-07-01,1656633600,2022_Q2
2022,Q3,2022-07-01,1656633600,2022-10-01,1664582400,2022_Q3
2022,Q4,2022-10-01,1664582400,2023-01-01,1672531200,2022_Q4
